sigla,ano,desca
SAL,2011,0.24444444444444216
SAL,2012,0.43384615384615444
SAL,2013,0.22500000000000214
SAL,2014,0.2981818181818198
SAL,2015,0.3546296296296292
SAL,2016,0.2231481481481481
SAL,2017,0.2222222222222222
SAL,2018,0.1786324786324782
SAL,2019,0.16666666666666904
SAL,2020,0.185470085470085
SAL,2022,0.025000000000004893
SAL,2023,0.026851851851850326
SAL,2024,0.14722222222222095
SAL,2025,0.3120370370370359
SAL,2026,0.1898148148148135
TIJ,1996,-0.4611111111111107
TIJ,1997,-0.53125
TIJ,1998,-3.091269841269842
TIJ,2000,0.7035714285714285
TIJ,2001,-0.5964285714285715
TIJ,2002,-0.21428571428571247
TIJ,2003,0.06928571428571217
TIJ,2004,0.6621428571428577
TIJ,2005,0.7442857142857143
TIJ,2006,0.5142857142857118
TIJ,2007,0.28846153846153727
TIJ,2008,0.15083333333333115
TIJ,2009,-0.23583333333333273
TIJ,2010,0.5899999999999999
TIJ,2011,0.414444444444441
TIJ,2012,0.49384615384615527
TIJ,2013,0.36500000000000127
TIJ,2014,0.32818181818182024
TIJ,2015,-0.8898148148148144
TIJ,2016,0.23425925925925858
TIJ,2017,-0.21111111111111017
TIJ,2018,0.08974358974359041
TIJ,2019,0.08888888888889174
TIJ,2020,-0.0034188034188018276
TIJ,2022,-0.04166666666666114
TIJ,2023,-0.05092592592592619
TIJ,2024,-0.3638888888888887
TIJ,2025,0.22314814814814732
TIJ,2026,0.012037037037036354
TRD,1996,-1.8611111111111107
TRD,1998,-1.7579365079365086
TRD,1999,-0.8134920634920637
TRD,2000,-1.1464285714285716
TRD,2001,-0.04642857142857153
TRD,2002,-2.3342857142857136
TRD,2003,-1.2307142857142872
TRD,2004,-0.837857142857142
TRD,2005,-1.1257142857142852
UNI,1996,-0.4111111111111107
UNI,1997,-1.2534722222222223
UNI,1998,-0.42460317460317515
UNI,1999,-0.48015873015873034
UNI,2000,0.05357142857142847
UNI,2001,-1.2464285714285714
UNI,2010,-0.4099999999999994
UNI,2012,-0.05615384615384258
UNI,2013,-0.18499999999999872
UNI,2014,0.16818181818182013
UNI,2015,-0.05648148148147985
UNI,2016,-0.3657407407407397
UNI,2017,-0.08888888888888778
UNI,2018,-0.18803418803418578
UNI,2019,-0.0999999999999959
UNI,2020,-0.6367521367521347
UPO,1996,-5.811111111111111
VIR,1996,-0.1611111111111107
VIR,1997,1.8020833333333333
VIR,1998,0.9087301587301582
VIR,1999,1.1309523809523807
VIR,2000,1.2035714285714285
VIR,2001,0.6535714285714285
VIR,2002,0.8857142857142868
VIR,2003,0.4192857142857129
VIR,2004,0.562142857142857
VIR,2005,0.15428571428571444
VIR,2006,0.5642857142857132
VIR,2007,0.28846153846153655
VIR,2008,0.10083333333333186
VIR,2009,-0.03583333333333059
VIR,2010,-1.0200000000000002
VIR,2015,-0.5231481481481484
VIR,2019,0.2222222222222238
VIR,2020,0.2854700854700856
VIR,2022,0.21388888888889174
VIR,2023,0.22685185185185
VIR,2024,0.31388888888888844
VIR,2025,0.33425925925925765
VIR,2026,0.24537037037036905
VIS,1996,0.9388888888888893
VIS,1997,0.13541666666666666
VIS,1998,-2.202380952380953
VIS,1999,-0.646825396825397
VIS,2000,-1.3964285714285716
VIS,2005,-0.4057142857142864
VIS,2006,0.6042857142857138
VIS,2007,0.21846153846153699
VIS,2008,-0.0391666666666687
VIS,2009,0.21416666666666728
VIS,2010,0.2
VIS,2011,0.14444444444443932
VIS,2012,0.4738461538461564
VIS,2013,0.4550000000000004
VIS,2014,-0.2118181818181796
VIS,2015,-0.2009259259259224
VIS,2016,-0.07685185185185064
VIS,2017,-0.1555555555555538
VIS,2018,-0.054700854700854507
VIS,2019,0.23333333333333506
VIS,2020,0.12991452991452868
VIS,2022,0.225000000000003
VIS,2023,0.13796296296295985
VIS,2024,0.08055555555555571
VIS,2025,0.24537037037036985
VIS,2026,0.21203703703703525
ROC,1997,-3.3645833333333335
ROC,2006,-1.8657142857142859
STC,1997,-1.6423611111111112
STC,2003,-1.8107142857142882
SCL,1999,-2.646825396825397
SCL,2002,-2.874285714285713
SCL,2004,-1.3478571428571418
SCL,2008,-0.6991666666666688
SCL,2011,-0.8255555555555596
SCL,2012,-0.2661538461538434
SCL,2013,-0.454999999999999
SCL,2014,-0.42181818181817976
SCL,2015,0.13240740740740778
SCL,2016,-0.09907407407407476
SCL,2017,-0.16666666666666508
SCL,2018,-0.26581196581196387
SCL,2019,-0.14444444444444096
SCL,2020,-0.1256410256410242
SCL,2022,-0.7638888888888842
TUI,2001,-2.3464285714285715
TUI,2017,-0.555555555555554
TUI,2018,0.18974358974359026
TUI,2019,0.011111111111113637
TUI,2020,-0.29230769230769243
TUI,2022,-0.2972222222222164
TUI,2023,-0.01759259259259396
TUI,2024,-0.019444444444445708
TUI,2025,-0.9324074074074081
TUI,2026,-0.03240740740740793
REN,2012,-0.8661538461538442
INO,2013,-0.6849999999999987
UPM,2025,-0.054629629629627315
NIT,2026,-0.643518518518519
